Company Name,Sayari Entity Name,Sayari Risk Score,AML Risk Score,CPI Risk Score,Negative Media Mentions,OFAC Sanctioned,Country Corruption Rank,Geolocation (Lon, Lat),Overall Risk Level
Universal Music Group,Universal Music Group N.V.,4.28,4.28,69,No data found,No,96.2264175415039,-118.35341, 34.1389,Medium
Sony Music Entertainment,SONY MUSIC ENTERTAINMENT,5.36,5.36,31,No data found,No,83.0188674926758,-75.1274, 39.74817,High
Warner Music Group,Warner Music Group Corp.,4.28,4.28,69,No data found,No,83.0188674926758,-83.631726, 32.616382,Medium
BMG Rights Management,BMG RIGHTS MANAGEMENT GmbH,4.28,4.28,78,No data found,No,94.3396224975586,No data found,Medium
Live Nation Entertainment,Live Nation Entertainment, Inc.,4.28,4.28,69,No data found,No,83.0188674926758,No data found,Medium
